name,color,model,price,Màn hình:,Hệ điều hành:,Camera sau:,Camera trước:,Chip:,RAM:,Dung lượng lưu trữ:,SIM:,"Pin, Sạc:",Danh bạ:,Thẻ nhớ:,Radio FM:,Jack cắm tai nghe:,Pin:
Điện thoại Vivo Y21s 4GB,Xanh,Y21s 4GB,3.890.000₫ ,"IPS LCD, 6.51"", HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G80,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 18 W",,,,,
Điện thoại Vivo Y21s 4GB,Trắng,Y21s 4GB,3.890.000₫ ,"IPS LCD, 6.51"", HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G80,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 18 W",,,,,
Điện thoại Vivo Y21s 6GB,Xanh,Y21s 6GB,4.490.000₫ ,"IPS LCD, 6.51"", HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G80,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 18 W",,,,,
Điện thoại Vivo Y21s 6GB,Trắng,Y21s 6GB,4.490.000₫ ,"IPS LCD, 6.51"", HD+",Android 11,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G80,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 18 W",,,,,
Điện thoại Samsung Galaxy A13 6GB,Xanh Dương,,3.790.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Exynos 850,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A13 6GB,Đen,,3.790.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Exynos 850,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A13 6GB,Cam,,3.790.000₫ ,"PLS TFT LCD, 6.6"", Full HD+",Android 12,"Chính 50 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Exynos 850,6 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại OPPO A17,Đen,,3.690.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,MediaTek Helio G35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại OPPO A17,Xanh Dương,,3.690.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,MediaTek Helio G35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Nokia G22,Xanh Dương,,,"LCD, 6.52"", HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,Unisoc T606,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5050 mAh, 20 W",,,,,
Điện thoại Nokia G22,Xám,,,"LCD, 6.52"", HD+",Android 12,"Chính 50 MP & Phụ 2 MP, 2 MP",8 MP,Unisoc T606,4 GB,128 GB,"2 Nano SIM, Hỗ trợ 4G","5050 mAh, 20 W",,,,,
Điện thoại OPPO A17K,Vàng,,2.990.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,8 MP,5 MP,MediaTek Helio G35,3 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại OPPO A17K,Xanh Dương,,2.990.000₫ ,"IPS LCD, 6.56"", HD+",Android 12,8 MP,5 MP,MediaTek Helio G35,3 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại OPPO A16,Bạc,,2.790.000₫ ,"IPS LCD, 6.52"", HD+",Android 11,"Chính 13 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G35,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại OPPO A16,Đen,,2.790.000₫ ,"IPS LCD, 6.52"", HD+",Android 11,"Chính 13 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio G35,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Vivo Y02,Xanh tím,,2.590.000₫ ,"IPS LCD, 6.51"", HD+",Android 12 (Go Edition),8 MP,5 MP,MediaTek MT6762 (Helio P22),2 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Vivo Y02,Đen,,2.590.000₫ ,"IPS LCD, 6.51"", HD+",Android 12 (Go Edition),8 MP,5 MP,MediaTek MT6762 (Helio P22),2 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Samsung Galaxy A04 (3GB/32GB),Xanh lá đậm,3GB - 32GB,2.490.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,5 MP,MediaTek Helio P35,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A04 (3GB/32GB),Đen,3GB - 32GB,2.490.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,5 MP,MediaTek Helio P35,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A04 (3GB/32GB),Nâu,3GB - 32GB,2.490.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,5 MP,MediaTek Helio P35,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A04 (4GB/64GB),Nâu,4GB - 64GB,2.790.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,5 MP,MediaTek Helio P35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A04 (4GB/64GB),Xanh lá đậm,4GB - 64GB,2.790.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,5 MP,MediaTek Helio P35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Samsung Galaxy A04 (4GB/64GB),Đen,4GB - 64GB,2.790.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 2 MP,5 MP,MediaTek Helio P35,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 15 W",,,,,
Điện thoại Xiaomi Redmi A2+,Xanh Dương,,2.490.000₫ ,"IPS LCD, 6.52"", HD+",Android 13 (Go Edition),Chính 8 MP & Phụ QVGA (248 x 328 Pixels),5 MP,MediaTek Helio G36 8 nhân,3 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Xiaomi Redmi A2+,Xanh lá,,2.490.000₫ ,"IPS LCD, 6.52"", HD+",Android 13 (Go Edition),Chính 8 MP & Phụ QVGA (248 x 328 Pixels),5 MP,MediaTek Helio G36 8 nhân,3 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Xiaomi Redmi A2+,Đen,,2.490.000₫ ,"IPS LCD, 6.52"", HD+",Android 13 (Go Edition),Chính 8 MP & Phụ QVGA (248 x 328 Pixels),5 MP,MediaTek Helio G36 8 nhân,3 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại realme C33 (3GB/32GB),Xanh,3GB - 32GB,2.440.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,Unisoc Tiger T612,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại realme C33 (3GB/32GB),Đen,3GB - 32GB,2.440.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,Unisoc Tiger T612,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại realme C33 (3GB/32GB),Vàng,3GB - 32GB,2.440.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,Unisoc Tiger T612,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại realme C33 (4GB/64GB),Đen,4GB - 64GB,2.840.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,Unisoc Tiger T612,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại realme C33 (4GB/64GB),Xanh,4GB - 64GB,2.840.000₫ ,"IPS LCD, 6.5"", HD+",Android 12,Chính 50 MP & Phụ 0.3 MP,5 MP,Unisoc Tiger T612,4 GB,64 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Vivo Y01,Đen,,2.390.000₫ ,"IPS LCD, 6.51"", HD+",Android 11 (Go Edition),8 MP,5 MP,MediaTek Helio P35,2 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Vivo Y01,Xanh ngọc,,2.390.000₫ ,"IPS LCD, 6.51"", HD+",Android 11 (Go Edition),8 MP,5 MP,MediaTek Helio P35,2 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 10 W",,,,,
Điện thoại Nokia C31 (3GB/32GB),Xanh Đậm,,,"TFT LCD, 6.7"", HD+",Android 12,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Unisoc SC9863A1,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5050 mAh, 10 W",,,,,
Điện thoại Nokia C31 (3GB/32GB),Xanh mint,,,"TFT LCD, 6.7"", HD+",Android 12,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Unisoc SC9863A1,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","5050 mAh, 10 W",,,,,
Điện thoại Itel L6502,Đen,,1.590.000₫ ,"IPS LCD, 6.52"", HD+",Android 10 (Go Edition),"Chính 8 MP & Phụ VGA, VGA",5 MP,Spreadtrum SC9832E,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, 5 W",,,,,
Điện thoại Itel L6502,Xanh,,1.590.000₫ ,"IPS LCD, 6.52"", HD+",Android 10 (Go Edition),"Chính 8 MP & Phụ VGA, VGA",5 MP,Spreadtrum SC9832E,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, 5 W",,,,,
Điện thoại Itel L6502,Xanh ngọc,,1.590.000₫ ,"IPS LCD, 6.52"", HD+",Android 10 (Go Edition),"Chính 8 MP & Phụ VGA, VGA",5 MP,Spreadtrum SC9832E,3 GB,32 GB,"2 Nano SIM, Hỗ trợ 4G","4000 mAh, 5 W",,,,,
Điện thoại Nokia 8210 4G,Đỏ,,1.590.000₫ ,"2.8""",,0.3 MP,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1450 mAh
Điện thoại Nokia 8210 4G,Trắng,,1.590.000₫ ,"2.8""",,0.3 MP,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1450 mAh
Điện thoại Nokia 8210 4G,Xanh,,1.590.000₫ ,"2.8""",,0.3 MP,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1450 mAh
Điện thoại Itel L6006,Tím,,1.390.000₫ ,"IPS LCD, 6.1"", HD+",Android 10 (Go Edition),Chính 5 MP & Phụ VGA,5 MP,Spreadtrum SC9832E,2 GB,32 GB,"2 Micro SIM, Hỗ trợ 4G","3000 mAh, 5 W",,,,,
Điện thoại Itel L6006,Xanh,,1.390.000₫ ,"IPS LCD, 6.1"", HD+",Android 10 (Go Edition),Chính 5 MP & Phụ VGA,5 MP,Spreadtrum SC9832E,2 GB,32 GB,"2 Micro SIM, Hỗ trợ 4G","3000 mAh, 5 W",,,,,
Điện thoại Itel L6006,Đen,,1.390.000₫ ,"IPS LCD, 6.1"", HD+",Android 10 (Go Edition),Chính 5 MP & Phụ VGA,5 MP,Spreadtrum SC9832E,2 GB,32 GB,"2 Micro SIM, Hỗ trợ 4G","3000 mAh, 5 W",,,,,
Điện thoại Nokia 215 4G,Xanh ngọc,,990.000₫ ,"TFT LCD, 2.4"", 256.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",Có,3.5 mm,1150 mAh
Điện thoại Nokia 215 4G,Đen,,990.000₫ ,"TFT LCD, 2.4"", 256.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",Có,3.5 mm,1150 mAh
Điện thoại Mobell Rock 4 4G,Xanh Dương,,810.000₫ ,"TFT LCD, 2.4"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,3250 mAh
Điện thoại Mobell Rock 4 4G,Xanh lá,,810.000₫ ,"TFT LCD, 2.4"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,3250 mAh
Điện thoại Mobell Rock 4 4G,Đen,,810.000₫ ,"TFT LCD, 2.4"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,3250 mAh
Điện thoại Mobell F309 4G,Vàng,,760.000₫ ,"TFT LCD, 2.31"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,1600 mAh
Điện thoại Mobell F309 4G,Đen,,760.000₫ ,"TFT LCD, 2.31"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,1600 mAh
Điện thoại Mobell F309 4G,Xanh Dương,,760.000₫ ,"TFT LCD, 2.31"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,1600 mAh
Điện thoại Masstel Lux 20 4G,Xanh Dương,,750.000₫ ,"TFT LCD, 2.4"", 16.7 triệu màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,,1800 mAh
Điện thoại Masstel Lux 20 4G,Vàng,,750.000₫ ,"TFT LCD, 2.4"", 16.7 triệu màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,,1800 mAh
Điện thoại Masstel Lux 20 4G,Bạc,,750.000₫ ,"TFT LCD, 2.4"", 16.7 triệu màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,,1800 mAh
Điện thoại Masstel FAMI 60 4G,Đen,,730.000₫ ,"TFT LCD, 2"", 260.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,,2000 mAh
Điện thoại Masstel FAMI 60 4G,Vàng,,730.000₫ ,"TFT LCD, 2"", 260.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,,2000 mAh
Điện thoại Masstel FAMI 60 4G,Xanh Dương,,730.000₫ ,"TFT LCD, 2"", 260.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,,2000 mAh
Điện thoại Nokia 110 4G,Xanh ngọc,,720.000₫ ,"TFT LCD, 1.8"", 65.536 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1020 mAh
Điện thoại Nokia 110 4G,Đen,,720.000₫ ,"TFT LCD, 1.8"", 65.536 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1020 mAh
Điện thoại Nokia 110 4G,Vàng,,720.000₫ ,"TFT LCD, 1.8"", 65.536 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1020 mAh
Điện thoại Mobell M539 4G,Đỏ,,700.000₫ ,"TFT LCD, 2.8"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,2000 mAh
Điện thoại Mobell M539 4G,Vàng đồng,,700.000₫ ,"TFT LCD, 2.8"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,2000 mAh
Điện thoại Mobell M539 4G,Đen,,700.000₫ ,"TFT LCD, 2.8"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,Micro USB,2000 mAh
Điện thoại Itel it9210 4G,Đen,,680.000₫ ,"LCD, 2.4"", 256.000 màu",,0.3 MP,,,,,"2 Micro SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,3.5 mm,1900 mAh
Điện thoại Itel it9210 4G,Xanh Dương,,680.000₫ ,"LCD, 2.4"", 256.000 màu",,0.3 MP,,,,,"2 Micro SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,3.5 mm,1900 mAh
Điện thoại Nokia 105 4G,Xanh ngọc,,670.000₫ ,"TFT LCD, 1.8"", 65.536 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,,FM không cần tai nghe,3.5 mm,1020 mAh
Điện thoại Nokia 105 4G,Đen,,670.000₫ ,"TFT LCD, 1.8"", 65.536 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,,FM không cần tai nghe,3.5 mm,1020 mAh
Điện thoại Nokia 105 4G,Đỏ,,670.000₫ ,"TFT LCD, 1.8"", 65.536 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,,FM không cần tai nghe,3.5 mm,1020 mAh
Điện thoại Masstel FAMI 12 4G,Vàng,,620.000₫ ,"TFT LCD, 1.77"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,3.5 mm,1400 mAh
Điện thoại Masstel FAMI 12 4G,Đen,,620.000₫ ,"TFT LCD, 1.77"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,3.5 mm,1400 mAh
Điện thoại Masstel FAMI 12 4G,Xanh Dương,,620.000₫ ,"TFT LCD, 1.77"", 262.000 màu",,0.08 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,3.5 mm,1400 mAh
Điện thoại Mobell F209 4G,Đen,,620.000₫ ,"TFT LCD, 2"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,,1500 mAh
Điện thoại Mobell F209 4G,Xanh Dương,,620.000₫ ,"TFT LCD, 2"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",FM không cần tai nghe,,1500 mAh
Điện thoại Masstel IZI 26 4G,Xanh Dương,,600.000₫ ,"TFT LCD, 2.4"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1800 mAh
Điện thoại Masstel IZI 26 4G,Đen,,600.000₫ ,"TFT LCD, 2.4"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,500 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1800 mAh
Điện thoại Itel it9010 4G,Xanh lá,,580.000₫ ,"LCD, 1.77"", 256.000 màu",,0.08 MP,,,,,"2 Micro SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,3.5 mm,1000 mAh
Điện thoại Itel it9010 4G,Xanh Dương,,580.000₫ ,"LCD, 1.77"", 256.000 màu",,0.08 MP,,,,,"2 Micro SIM, Hỗ trợ 4G",,2000 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,3.5 mm,1000 mAh
Điện thoại Masstel Lux 10 4G,Vàng,,570.000₫ ,"TFT LCD, 2.4"", 16.7 triệu màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",Có,,1400 mAh
Điện thoại Masstel Lux 10 4G,Xanh Dương,,570.000₫ ,"TFT LCD, 2.4"", 16.7 triệu màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",Có,,1400 mAh
Điện thoại Masstel Lux 10 4G,Xanh lá,,570.000₫ ,"TFT LCD, 2.4"", 16.7 triệu màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",Có,,1400 mAh
Điện thoại Masstel IZI 10 4G,Xanh Dương,,390.000₫ ,"TFT LCD, 1.77"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1000 mAh
Điện thoại Masstel IZI 10 4G,Đen,,390.000₫ ,"TFT LCD, 1.77"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1000 mAh
Điện thoại Masstel IZI 10 4G,Đen - Đỏ,,390.000₫ ,"TFT LCD, 1.77"", 262.000 màu",,,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,2000 số,"MicroSD, hỗ trợ tối đa 32 GB",FM không cần tai nghe,3.5 mm,1000 mAh
Điện thoại Mobell M239 4G,Đỏ,,390.000₫ ,"TFT LCD, 1.77"", 65.000 màu",,8 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,300 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,,1000 mAh
Điện thoại Mobell M239 4G,Đen,,390.000₫ ,"TFT LCD, 1.77"", 65.000 màu",,8 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,300 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,,1000 mAh
Điện thoại Mobell M239 4G,Xanh Dương,,390.000₫ ,"TFT LCD, 1.77"", 65.000 màu",,8 MP,,,,,"2 Nano SIM, Hỗ trợ 4G VoLTE",,300 số,"MicroSD, hỗ trợ tối đa 64 GB",Có,,1000 mAh
